Temps (s);Direction;Mod. source;Ser. source;Mod. dest;Ser. dest;ID message;Donnee 1;Donnee 2
2.300000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90659199999999;0
2.400000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;RPM_45V;5.00000;2390717
2.500000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;0;0
2.600000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_RATE_Y;-7.0736260414123535;2390170
2.700000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;L3G_RATE_X;-31.729766845703125;2390170
2.800000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;L3G_RATE_Y;31.318695068359375;2390170
2.900000000;IN;MCD;0;DLM;ALL_SERIAL_NBS;L3G_RATE_Z;-32.60601806640625;2390170
3.000000000;IN;AGRUM;0;DLM;ALL_SERIAL_NBS;ADXL_ACC_X;0.5879999995231628;2390170
3.100000000;IN;NUC;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.94436999999999;0
3.200000000;IN;ADIRM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90649199999999;0
3.300000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000;0
3.400000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ADXL_ACC_Y;0.2449999898672104;2390170
3.500000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ADXL_ACC_Z;0.8819999694824219;2390170
3.600000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_X;-0.324531227350235;2390170
3.700000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_Y;-1.3617812395095825;2390170
3.800000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_Z;-0.5415312647819519;2390170
3.900000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.94536999999999;0
4.000000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90639199999998;0
4.100000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;0;0
4.200000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_RATE_Z;-0.9848470687866211;2390170
4.300000000;IN;ADM;2;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86482.0;2390176
4.400000000;IN;ADIRM;0;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86494.0;2390179
4.500000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86470.0;2390191
4.600000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;BAR_PRESS1;86494.0;2390179
4.700000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.94636999999999;0
4.800000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90629199999998;0
4.900000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000;0
5.000000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;RPM_45V;45.915679931640625;2390717
5.100000000;IN;ADM;2;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86485.0;2390196
5.200000000;IN;ADIRM;0;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86509.0;2390199
5.300000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86472.0;2390211
5.400000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.947369999999985;408
5.500000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90619199999998;408
5.600000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.94836999999998;0
5.700000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90609199999997;0
5.800000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;0;0
5.900000000;IN;ATM_SLAVE;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000;408
6.000000000;IN;DLM;1;IOM;ALL_SERIAL_NBS;GPS1_DATE_TIME;0.0;408
6.100000000;IN;ATM_MASTER;1;IOM;ALL_SERIAL_NBS;GPS1_FIX_QUAL;0.0;408
6.200000000;IN;ATM_MASTER;1;IOM;ALL_SERIAL_NBS;GPS1_GND_SPEED;0.0;408
6.300000000;IN;ADM;1;IOM;ALL_SERIAL_NBS;LVDM_STATE;2;2390217
6.400000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.94936999999998;0
6.500000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90599199999997;0
6.600000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;0;0
6.700000000;IN;ADM;1;IOM;ALL_SERIAL_NBS;LVDM_ARMING_STATUS;1;2390217
6.800000000;IN;ADM;1;IOM;ALL_SERIAL_NBS;LVDM_RAMP_ALT;1341.368408203125;2390217
6.900000000;IN;ADM;1;IOM;ALL_SERIAL_NBS;LVDM_LOCKED;856978;2390217
7.000000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_RATE_X;-15.738205909729004;2390210
7.100000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_RATE_Y;-8.0354585647583;2390210
7.200000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;LSM_ACC_X;32.95036999999998;0
7.300000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90589199999997;0
7.400000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000;0
7.500000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;L3G_RATE_X;-31.44976806640625;2390210
7.600000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;RPM_45V;5.00000;2390717
7.700000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;L3G_RATE_Y;31.458694458007812;2390210
7.800000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;L3G_RATE_Z;-31.136016845703125;2390210
7.900000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ADXL_ACC_X;0.8819999694824219;2390210
8.000000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ADXL_ACC_Y;0.1469999998807907;2390210
8.100000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;LSM_ACC_X;32.951369999999976;0
8.200000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90579199999996;0
8.300000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;0;0;56;69;Allo
8.400000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ADXL_ACC_Z;0.9799999594688416;2390210
8.500000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_X;-0.22453123331069946;2390210
8.600000000;IN;ADM;2;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86481.0;2390216
8.700000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_Y;-1.4992812871932983;2390210
8.800000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_Z;-0.34153124690055847;2390210
8.900000000;IN;NUC;1;IOM;ALL_SERIAL_NBS;LSM_ACC_X;32.95236999999997;0
9.000000000;IN;APUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90569199999996;0
9.100000000;IN;ADM;1;;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000;0
9.200000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_RATE_Z;-1.7024049758911133;2390210
9.300000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;RPM_45V;45.915679931640625;2390217
9.400000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;LVDM_CHARGED;1;2390217
9.500000000;IN;ADIRM;0;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86492.0;2390219
9.600000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86469.0;2390231
9.700000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.95336999999997;0
9.800000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90559199999996;0
9.900000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;0;0
10.000000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;BAR_PRESS1;86492.0;2390219
10.100000000;IN;ADM;2;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86483.0;2390236
10.200000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;RPM_45V;5.00000;2390717
10.300000000;IN;ADIRM;0;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86498.0;2390239
10.400000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86474.0;2390251
10.500000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;BAR_PRESS1;86498.0;2390239
10.600000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.95436999999997;0
10.700000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;LSM_ACC_X;106.90549199999995;0
10.800000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000;0
10.900000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_X;0.17523193359375;2390100
11.000000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_Y;0.228515625;2390200
11.100000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;LSM_ACC_X;-0.013671875;2390200
11.200000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;LSM_ACC_Y;-0.0576171875;2390200
11.300000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;LSM_ACC_Z;0.6845703125;2390200
11.400000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.95536999999997;0
11.500000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90539199999995;0
11.600000000;OUT;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;0;0
11.700000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;ICM_ACC_X;0.00244140625;2390249
11.800000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;ICM_ACC_Y;0.013671875;2390249
11.900000000;IN;ATM_SLAVE;0;IOM;ALL_SERIAL_NBS;ICM_ACC_Z;1.01953125;2390249
12.000000000;IN;ADLM;0;IOM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_Z;0.0755615234375;2390200
12.100000000;IN;ADM;0;IOM;ALL_SERIAL_NBS;ICM_RATE_X;-15.692404747009277;2390250
12.200000000;IN;ADRMSAT;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.956369999999964;0
12.300000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;LSM_ACC_X;106.90529199999995;0
12.400000000;IN;AGRUM;1;IOMALL_SERIAL_NBS;GPS1_ALT_MSL;4000;0
12.500000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;ADXL_ACC_X;1.225000023841858;2390250
12.600000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;ADXL_ACC_Y;0.34299999475479126;2390250
12.700000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;ADXL_ACC_Z;1.1759999990463257;2390250
12.800000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;RPM_45V;45.915679931640625;2390717
12.900000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;FANCY_RATE_X;-0.19953124225139618;2390250
13.000000000;IN;AGRUM;2;IOM;ALL_SERIAL_NBS;GPS1_TRACK_ANG;0.0;0
13.100000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.95736999999996;0
13.200000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90519199999994;0
13.300000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;0;0
13.400000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86472.0;2390271
13.500000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;SD_CARD_SPACE_LEFT;7150032;2390265
13.600000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;SD_TOTAL_BYTES_WRITTEN;329859072;2390265
13.700000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;BAR_PRESS1;86495.0;2390259
13.800000000;IN;ADM;2;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86481.0;2390276
13.900000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.95836999999996;0
14.000000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;LSM_ACC_X;106.90509199999994;0
14.100000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000;0
14.200000000;IN;ADIRM;0;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86486.0;2390279
14.300000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86475.0;2390291
14.400000000;IN;ADM;1;IOM;ALL_SERIAL_NBS;LVDM_BRIDGEWIRE_RES_DROGUE;1559.765625;2390292
14.500000000;IN;ADM;1;IOM;ALL_SERIAL_NBS;LVDM_BRIDGEWIRE_RES_MAIN;1629.8583984375;2390292
14.600000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;BAR_PRESS1;86486.0;2390279
14.700000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.95936999999996;0
14.800000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90499199999994;0
14.900000000;IN;NUC;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;0;0
15.000000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_X;0.17572021484375;2390200
15.100000000;IN;ADRMSAT;0;DLM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_Y;0.228515625;2390300
15.200000000;IN;ADRMSAT;0;DLM;ALL_SERIAL_NBS;LSM_ACC_X;-0.0283203125;2390300
15.300000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_Y;-0.06103515625;2390300
15.400000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;RPM_45V;5.00000;2390717
15.500000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_Z;0.70751953125;2390300
15.600000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.960369999999955;0
15.700000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90489199999993;0
15.800000000;OUT;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000;0
15.900000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_ACC_X;-0.0224609375;2390289
16.000000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_ACC_Y;0.05615234375;2390289
16.100000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_ACC_Z;0.990234375;2390289
16.200000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_Z;0.07391357421875;2390300
16.300000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;L3G_RATE_Z;-32.5360107421875;2390290
16.400000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.96136999999995;0
16.500000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90479199999993;0
16.600000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;0;0
16.700000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ADXL_ACC_X;0.1469999998807907;2390290
16.800000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ADXL_ACC_Y;0.44099998474121094;2390290
16.900000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ADXL_ACC_Z;0.6369999647140503;2390290
17.000000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_X;-0.4620312452316284;2390290
17.100000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_Y;-1.7617813348770142;2390290
17.200000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.96236999999995;0
17.300000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90469199999993;0
17.400000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;1000;0
17.500000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_Z;-0.34153124690055847;2390290
17.600000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_RATE_Z;-2.3894271850585938;2390290
17.700000000;IN;ADM;2;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86480.0;2390296
17.800000000;IN;ADIRM;0;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86498.0;2390299
17.900000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86474.0;2390311
18.000000000;IN;ADLM;1;ALL_MODULES;ALL_SERIAL_NBS;RPM_45V;45.915679931640625;2390717
18.100000000;IN;APUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.96336999999995;0
18.200000000;IN;ADRMSAT;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90459199999992;0
18.300000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;2000;0
18.400000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;BAR_PRESS1;86498.0;2390299
18.500000000;IN;ADM;2;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86478.0;2390316
18.600000000;IN;ADIRM;0;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86491.0;2390319
18.700000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86474.0;2390331
18.800000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;LSM_ACC_X;86491.0;2390319
18.900000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.964369999999946;0
19.000000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90449199999992;0
19.100000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;3000;0
19.200000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_X;0.17437744140625;2390300
19.300000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_Y;0.23046875;2390400
19.400000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_X;-0.0283203125;2390400
19.500000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_Y;-0.037109375;2390400
19.600000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_Z;0.67138671875;2390400
19.700000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.96536999999994;0
19.800000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90439199999992;0
19.900000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;3500;0
20.000000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_ACC_X;-0.00732421875;2390329
20.100000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_ACC_Y;0.02197265625;2390329
20.200000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_ACC_Z;1.04736328125;2390329
20.300000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_Z;0.07781982421875;2390400
20.400000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;ICM_RATE_X;-16.0893497467041;2390330
20.500000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.96636999999994;0
20.600000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;RPM_45V;5.00000;2390717
20.700000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90429199999991;0
20.800000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;3800;0
20.900000000;IN;ATM_SLAVE;0;DLM;ALL_SERIAL_NBS;ICM_RATE_Y;-6.585075855255127;2390330
21.000000000;IN;ADM;0;DLM;ALL_SERIAL_NBS;L3G_RATE_X;-32.009765625;2390330
21.100000000;IN;NUC;0;DLM;ALL_SERIAL_NBS;ADXL_ACC_Z;0.5879999995231628;2390330
21.200000000;IN;ADLM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_X;-0.37453123927116394;2390330
21.300000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_Y;-1.7367812395095825;2390330
21.400000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.96736999999994;0
21.500000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.90419199999991;0
21.600000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;4000;0
21.700000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;FANCY_RATE_Z;-0.27903124690055847;2390330
21.800000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_X;-0.9848470687866211;2390330
21.900000000;IN;ADM;2;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86480.0;2390336
22.000000000;IN;ADIRM;0;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86510.0;2390339
22.100000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86469.0;2390351
22.200000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.968369999999936;0
22.300000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.9040919999999;0
22.400000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;3000;0
22.500000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;BAR_PRESS1;86510.0;2390339
22.600000000;IN;ADM;2;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86483.0;2390356
22.700000000;IN;ADIRM;0;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86506.0;2390359
22.800000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;BAR_PRESS1;86470.0;2390371
22.900000000;IN;ADIRM;0;IOM;ALL_SERIAL_NBS;BAR_PRESS1;86506.0;2390359
23.000000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LATITUDE;32.969369999999934;0
23.100000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.9039919999999;0
23.200000000;IN;ADM;1;ALL_MODULES;ALL_SERIAL_NBS;RPM_45V;45.915679931640625;2390717
23.300000000;IN;AGRUM;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;2000;0
23.400000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_X;0.17523193359375;2390400
23.500000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_MAGN_FIELD_Y;0.22991943359375;2390500
23.600000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_X;-0.05615234375;2390500
23.700000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_Y;-0.06640625;2390500
23.800000000;IN;ADIRM;0;DLM;ALL_SERIAL_NBS;LSM_ACC_Z;0.67578125;2390500
23.900000000;IN;ADRMSAT;1;IOM;ALL_SERIAL_NBS;LSM_ACC_X;32.97036999999993;0
24.000000000;IN;GS;1;IOM;ALL_SERIAL_NBS;GPS1_LONGITUDE;106.9038919999999;0
24.100000000;IN;MCD;1;IOM;ALL_SERIAL_NBS;GPS1_ALT_MSL;1000;0
24.200000000;IN;ADLM;0;DLM;ALL_SERIAL_NBS;ICM_ACC_X;0.01416015625;2390369
